id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
beta_last_30_days_spy,Beta to SPY in 30 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7803,515,1236,[]
beta_last_360_days_spy,Beta to SPY in 360 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7605,610,1183,[]
beta_last_60_days_spy,Beta to SPY in 60 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7796,667,1436,[]
beta_last_90_days_spy,Beta to SPY in 90 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7782,430,1198,[]
correlation_last_30_days_spy,Correlation to SPY in 30 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7803,419,953,[]
correlation_last_360_days_spy,Correlation to SPY in 360 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7605,560,1064,[]
correlation_last_60_days_spy,Correlation to SPY in 60 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7796,869,1476,[]
correlation_last_90_days_spy,Correlation to SPY in 90 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7782,389,774,[]
systematic_risk_last_30_days,Systematic Risk Last 30 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7757,386,761,[]
systematic_risk_last_360_days,Systematic Risk Last 360 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7561,621,1039,[]
systematic_risk_last_60_days,Systematic Risk Last 60 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.775,659,1086,[]
systematic_risk_last_90_days,Systematic Risk Last 90 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7736,753,1244,[]
unsystematic_risk_last_30_days,Unsystematic Risk Last 30 Days - Relative to SPY,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7757,417,1074,[]
unsystematic_risk_last_360_days,Unsystematic Risk Last 360 Days - Relative to SPY,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7561,2121,7816,[]
unsystematic_risk_last_60_days,Unsystematic Risk Last 60 Days - Relative to SPY,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.775,713,1647,[]
unsystematic_risk_last_90_days,Unsystematic Risk Last 90 Days - Relative to SPY,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7736,1266,2870,[]
