id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
call_breakeven_10,Price at which a stock's call options with expiration 10 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,1053,2300,[]
call_breakeven_1080,Price at which a stock's call options with expiration 1080 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,426,1061,[]
call_breakeven_120,Price at which a stock's call options with expiration 120 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,321,860,[]
call_breakeven_150,Price at which a stock's call options with expiration 150 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,227,616,[]
call_breakeven_180,Price at which a stock's call options with expiration 180 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,291,815,[]
call_breakeven_20,Price at which a stock's call options with expiration 20 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,955,1584,[]
call_breakeven_270,Price at which a stock's call options with expiration 270 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,213,584,[]
call_breakeven_30,Price at which a stock's call options with expiration 30 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,336,886,[]
call_breakeven_360,Price at which a stock's call options with expiration 360 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,232,539,[]
call_breakeven_60,Price at which a stock's call options with expiration 60 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,215,521,[]
call_breakeven_720,Price at which a stock's call options with expiration 720 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,239,533,[]
call_breakeven_90,Price at which a stock's call options with expiration 90 days in the future break even based on its recent bid/ask mean.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7043,238,381,[]
forward_price_10,Forward price at 10 days derived from a synthetic long option with payoff similar to long stock + option dynamics. Combination of long ATM call and short ATM put.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7037,433,955,[]
forward_price_1080,Forward price at 1080 days derived from a synthetic long option with payoff similar to long stock + option dynamics. Combination of long ATM call and short ATM put.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7037,197,395,[]
forward_price_120,Forward price at 120 days derived from a synthetic long option with payoff similar to long stock + option dynamics. Combination of long ATM call and short ATM put.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7037,247,321,[]
forward_price_150,Forward price at 150 days derived from a synthetic long option with payoff similar to long stock + option dynamics. Combination of long ATM call and short ATM put.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7037,165,328,[]
forward_price_180,"Forward price at 180 days derived from a synthetic long option with payoff similar to long stock + option dynamics. combination of long ATM call, and short ATM put.","{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7037,230,486,[]
forward_price_20,Forward price at 20 days derived from a synthetic long option with payoff similar to long stock + option dynamics. Combination of long ATM call and short ATM put.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7037,275,598,[]
forward_price_270,Forward price at 270 days derived from a synthetic long option with payoff similar to long stock + option dynamics. Combination of long ATM call and short ATM put.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7037,175,436,[]
forward_price_30,Forward price at 30 days derived from a synthetic long option with payoff similar to long stock + option dynamics. Combination of long ATM call and short ATM put.,"{'id': 'option9', 'name': 'Options Analytics'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,MATRIX,1.0,0.7037,240,529,[]
