id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
scl12_alltype_buzzvec,sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,0.9525,2461,4023,[]
scl12_alltype_sentvec,sentiment,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,0.9525,283,533,[]
scl12_alltype_typevec,instrument type index,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,0.9525,240,470,[]
scl12_buzz,relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,12204,18571,[]
scl12_buzz_fast_d1,relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9756,66,75,[]
scl12_buzzvec,sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,1.0,44,54,[]
scl12_sentiment,sentiment,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,1056,2998,[]
scl12_sentiment_fast_d1,sentiment,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9756,76,86,[]
scl12_sentvec,sentiment,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,1.0,31,36,[]
scl12_typevec,instrument type index,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,VECTOR,1.0,1.0,28,36,[]
snt_buzz,"negative relative sentiment volume, fill nan with 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,2711,8138,[]
snt_buzz_bfl,"negative relative sentiment volume, fill nan with 1","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,2283,5371,[]
snt_buzz_bfl_fast_d1,"negative relative sentiment volume, fill nan with 1","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9998,68,71,[]
snt_buzz_fast_d1,"negative relative sentiment volume, fill nan with 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9769,78,82,[]
snt_buzz_ret,negative return of relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,1640,3722,[]
snt_buzz_ret_fast_d1,negative return of relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9769,20,25,[]
snt_value,"negative sentiment, fill nan with 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,708,2224,[]
snt_value_fast_d1,"negative sentiment, fill nan with 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9769,54,61,[]
