id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
assets,Assets - Total,"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,36537,124986,[]
assets_curr,Current Assets - Total,"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,3043,13928,[]
bookvalue_ps,Book Value Per Share,"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,2330,9246,[]
capex,Capital Expenditures,"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,10270,24928,[]
cash,Cash,"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,2207,11051,[]
cash_st,Cash and Short-Term Investments,"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,1367,7955,[]
cashflow,Cashflow (Annual),"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,2416,8954,[]
cashflow_dividends,Cash Dividends (Cash Flow),"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,2335,5532,[]
cashflow_fin,Financing Activities - Net Cash Flow,"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,1600,7075,[]
cashflow_invst,Investing Activities - Net Cash Flow,"{'id': 'fundamental6', 'name': 'Company Fundamental Data for Equity'}","{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,MATRIX,1.0,0.5,1152,4655,[]
