id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
historical_volatility_10,Close-to-close Historical volatility over 10 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6983,874,2231,[]
historical_volatility_120,Close-to-close Historical volatility over 120 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.7004,1466,3268,[]
historical_volatility_150,Close-to-close Historical volatility over 150 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.7014,723,1932,[]
historical_volatility_180,Close-to-close Historical volatility over 180 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.7023,1689,3889,[]
historical_volatility_20,Close-to-close Historical volatility over 20 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6983,556,1372,[]
historical_volatility_30,Close-to-close Historical volatility over 30 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6981,569,1381,[]
historical_volatility_60,Close-to-close Historical volatility over 60 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6984,773,2134,[]
historical_volatility_90,Close-to-close Historical volatility over 90 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6994,631,1659,[]
implied_volatility_call_10,At-the-money option-implied volatility for call Option for 10 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1775,3512,[]
implied_volatility_call_1080,At-the-money option-implied volatility for call option for 1080 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,3029,7309,[]
implied_volatility_call_120,At-the-money option-implied volatility for call Option for 120 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,3690,7772,[]
implied_volatility_call_150,At-the-money option-implied volatility for call Option for 150 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1861,3742,[]
implied_volatility_call_180,At-the-money option-implied volatility for call Option for 180 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,2415,4700,[]
implied_volatility_call_20,At-the-money option-implied volatility for call Option for 20 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,840,1774,[]
implied_volatility_call_270,At-the-money option-implied volatility for call Option for 270 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,5564,8550,[]
implied_volatility_call_30,At-the-money option-implied volatility for call Option for 30 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1325,3008,[]
implied_volatility_call_360,At-the-money option-implied volatility for call Option for 360 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1458,3000,[]
implied_volatility_call_60,At-the-money option-implied volatility for call Option for 60 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,2468,4964,[]
implied_volatility_call_720,At-the-money option-implied volatility for call Option for 720 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1285,2658,[]
implied_volatility_call_90,At-the-money option-implied volatility for call Option for 90 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1209,2910,[]
implied_volatility_mean_10,At-the-money option-implied volatility mean for 10 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,2219,5608,[]
implied_volatility_mean_1080,At-the-money option-implied volatility mean for 3 years,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,444,943,[]
implied_volatility_mean_120,At-the-money option-implied volatility mean for 120 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,1943,3111,[]
implied_volatility_mean_150,At-the-money option-implied volatility mean for 150 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,771,1526,[]
